Similarity, Precision, Recall, Id
28.451727136280184, 0.3333333333333333, 0.05263157894736842, 9859
25.36183935456069, 0.3333333333333333, 0.10526315789473684, 5502
22.94505422792125, 0.3333333333333333, 0.15789473684210525, 6824
19.672706707925055, 0.23529411764705882, 0.21052631578947367, 7923
19.42790968020931, 0.2631578947368421, 0.2631578947368421, 8150
13.401315550805657, 0.15384615384615385, 0.3157894736842105, 9219
12.790687787743275, 0.12962962962962962, 0.3684210526315789, 8172
9.865647672217344, 0.0898876404494382, 0.42105263157894735, 4569
9.816739606841008, 0.0989010989010989, 0.47368421052631576, 6664
9.56235335825707, 0.10309278350515463, 0.5263157894736842, 5472
9.290428960981924, 0.102803738317757, 0.5789473684210527, 1502
7.962235255363131, 0.08108108108108109, 0.631578947368421, 6480
7.180881799274235, 0.07738095238095238, 0.6842105263157895, 4462
6.955907477428888, 0.07650273224043716, 0.7368421052631579, 9988
6.939278457312352, 0.08064516129032258, 0.7894736842105263, 6471
6.686032420365382, 0.07441860465116279, 0.8421052631578947, 10588
6.445408073376767, 0.06415094339622641, 0.8947368421052632, 10081
2.9575080485278282, 0.01764705882352941, 0.9473684210526315, 8277
0.4948493789088537, 0.004463237021376556, 1.0, 1239
